Time,Code,N,WL,WW,WA,BM,BL,ED
2021-7-7,1-001-111,3006,5.3593,1.747,6.462,3.2343,4.4,1.7
2021-7-7,1-001-112,2885,5.2168,1.7123,6.2323,3.2343,4.4,1.7
2021-7-7,1-001-121,1850,2.825,1.4106,3.0201,3.2343,4.4,1.7
2021-7-7,1-001-122,1831,2.7846,1.3988,2.9802,3.2343,4.4,1.7
2021-7-7,1-002-211,3147,5.6031,1.7619,6.653,3.4633,4.3,1.8
2021-7-7,1-002-212,3072,5.4242,1.776,6.6407,3.4633,4.3,1.8
2021-7-7,1-002-221,1901,2.916,1.3728,2.9783,3.4633,4.3,1.8
2021-7-7,1-002-222,1900,2.8925,1.3592,3.0076,3.4633,4.3,1.8
2021-7-7,1-003-211,2842,5.1451,1.6984,5.9975,3.2147,4.1,1.7
2021-7-7,1-003-212,2842,5.1451,1.6984,5.9975,3.2147,4.1,1.7
2021-7-7,1-003-221,1820,2.7716,1.335,2.9212,3.2147,4.1,1.7
2021-7-7,1-003-222,1750,2.7026,1.3303,2.7911,3.2147,4.1,1.7
2021-7-8,1-004-211,3003,5.4248,1.6092,6.0273,2.8426,3.8,1.6
2021-7-8,1-004-212,2922,5.2749,1.6016,5.957,2.8426,3.8,1.6
2021-7-8,1-004-221,1851,2.8362,1.2986,2.836,2.8426,3.8,1.6
2021-7-8,1-004-222,1783,2.723,1.2662,2.7043,2.8426,3.8,1.6
2021-7-9,1-005-111,2944,5.3027,1.707,6.2599,3.5117,4.2,1.6
2021-7-9,1-005-112,3074,5.411,1.7516,6.3467,3.5117,4.2,1.6
2021-7-9,1-005-121,1805,2.7411,1.3214,2.7942,3.5117,4.2,1.6
2021-7-9,1-005-122,1789,2.7099,1.3531,2.9018,3.5117,4.2,1.6
2021-7-9,1-006-211,3097,5.4507,1.7112,6.3731,3.7252,4.4,1.7
2021-7-9,1-006-212,2986,5.3722,1.7134,6.394,3.7252,4.4,1.7
2021-7-9,1-006-221,1847,2.7942,1.3698,3.0527,3.7252,4.4,1.7
2021-7-9,1-006-222,1849,2.7787,1.3555,3.0246,3.7252,4.4,1.7
2021-7-9,1-007-211,2962,5.3183,1.6557,5.9976,3.0317,4.3,1.7
2021-7-9,1-007-212,2868,5.2634,1.6473,5.9905,3.0317,4.3,1.7
2021-7-9,1-007-221,1754,2.7288,1.3025,2.7819,3.0317,4.3,1.7
2021-7-9,1-007-222,1773,2.6915,1.3056,2.7299,3.0317,4.3,1.7
2021-7-9,1-008-111,2750,4.9585,1.5795,5.4375,2.8075,4,1.6
2021-7-9,1-008-112,2769,5.0236,1.5589,5.3328,2.8075,4,1.6
2021-7-9,1-008-121,1663,2.4862,1.2496,2.4643,2.8075,4,1.6
2021-7-9,1-008-122,1663,2.4742,1.2965,2.4165,2.8075,4,1.6
2021-7-9,1-009-111,2832,5.1649,1.6358,5.7211,2.6624,4,1.6
2021-7-9,1-009-112,2901,5.2579,1.6173,5.7185,2.6624,4,1.6
2021-7-9,1-009-121,1781,2.7277,1.2792,2.6939,2.6624,4,1.6
2021-7-9,1-009-122,1761,2.6423,1.3023,2.6884,2.6624,4,1.6
2021-7-9,1-010-211,2784,5.0312,1.5459,5.3858,2.5139,3.8,1.6
2021-7-9,1-010-212,2741,4.9537,1.5229,5.3047,2.5139,3.8,1.6
2021-7-9,1-010-221,1682,2.6188,1.2276,2.4667,2.5139,3.8,1.6
2021-7-9,1-010-222,1636,2.5063,1.213,2.4808,2.5139,3.8,1.6
2021-7-9,1-011-111,2804,5.1236,1.5456,5.4742,2.5095,3.8,1.6
2021-7-9,1-011-112,2849,5.1581,1.5628,5.5526,2.5095,3.8,1.6
2021-7-9,1-011-121,1705,2.6674,1.2127,2.4808,2.5095,3.8,1.6
2021-7-9,1-011-122,1740,2.5965,1.2835,2.643,2.5095,3.8,1.6
2021-7-10,1-012-111,2936,5.2419,1.5804,5.5585,2.8012,4.3,1.6
2021-7-10,1-012-112,2818,5.0723,1.5808,5.5582,2.8012,4.3,1.6
2021-7-10,1-012-121,1769,2.7343,1.2351,2.5815,2.8012,4.3,1.6
2021-7-10,1-012-122,1725,2.6246,1.2143,2.5262,2.8012,4.3,1.6
2021-7-10,1-013-111,2861,5.1722,1.6538,5.788,3.0829,4.4,1.7
2021-7-10,1-013-112,2840,5.0886,1.6399,5.7558,3.0829,4.4,1.7
2021-7-10,1-013-121,1763,2.6848,1.2809,2.6329,3.0829,4.4,1.7
2021-7-10,1-013-122,1765,2.6686,1.2999,2.751,3.0829,4.4,1.7
2021-7-10,1-014-211,2900,5.2093,1.6815,6.0011,3.256,4,1.7
2021-7-10,1-014-212,2846,5.1311,1.6655,5.9611,3.256,4,1.7
2021-7-10,1-014-221,1813,2.7668,1.3071,2.8394,3.256,4,1.7
2021-7-10,1-014-222,1779,2.6334,1.302,2.7967,3.256,4,1.7
2021-7-12,1-015-211,2830,5.149,1.5804,5.5362,2.1984,3.8,1.6
2021-7-12,1-015-212,2778,5.0218,1.5851,5.5239,2.1984,3.8,1.6
2021-7-12,1-015-221,1647,2.6255,1.2711,2.6012,2.1984,3.8,1.6
2021-7-12,1-015-222,1746,2.6555,1.2386,2.4359,2.1984,3.8,1.6
2021-7-12,1-016-211,2975,5.234,1.7013,6.0579,3.5334,4.1,1.7
2021-7-12,1-016-212,2972,5.1962,1.6986,6.097,3.5334,4.1,1.7
2021-7-12,1-016-221,1815,2.7761,1.382,2.9572,3.5334,4.1,1.7
2021-7-12,1-016-222,1846,2.7496,1.3625,2.955,3.5334,4.1,1.7
2021-7-12,1-017-211,3082,5.4386,1.734,6.4052,3.637,4.3,1.8
2021-7-12,1-017-212,3008,5.3579,1.7199,6.3568,3.637,4.3,1.8
2021-7-12,1-017-221,1818,2.9462,1.3117,2.9218,3.637,4.3,1.8
2021-7-12,1-017-222,1880,2.8795,1.351,3.0457,3.637,4.3,1.8
2021-7-12,1-018-211,2875,5.1741,1.5526,5.4415,2.5341,3.7,1.6
2021-7-12,1-018-212,2851,5.1204,1.5529,5.4478,2.5341,3.7,1.6
2021-7-12,1-018-221,1769,2.6422,1.2453,2.5034,2.5341,3.7,1.6
2021-7-12,1-018-222,1656,2.5771,1.2288,2.4818,2.5341,3.7,1.6
2021-7-12,1-019-211,2772,4.8439,1.5329,5.1731,2.1567,3.6,1.5
2021-7-12,1-019-212,2743,4.94,1.5181,5.1643,2.1567,3.6,1.5
2021-7-12,1-019-221,1642,2.5449,1.2037,2.3177,2.1567,3.6,1.5
2021-7-12,1-019-222,1632,2.5089,1.1951,2.3346,2.1567,3.6,1.5
2021-7-17,1-020-211,3013,5.1944,1.6498,5.9101,3.3294,4.1,1.8
2021-7-17,1-020-212,2895,5.1934,1.648,5.917,3.3294,4.1,1.8
2021-7-17,1-020-221,1771,2.7562,1.323,2.9001,3.3294,4.1,1.8
2021-7-17,1-020-222,1792,2.7373,1.307,2.7405,3.3294,4.1,1.8
2021-7-17,1-021-211,3011,5.3441,1.7463,6.4285,3.5507,4.2,1.9
2021-7-17,1-021-212,3119,5.4674,1.7322,6.432,3.5507,4.2,1.9
2021-7-17,1-021-221,1882,2.7944,1.4279,3.1153,3.5507,4.2,1.9
2021-7-17,1-021-222,1841,2.802,1.38,2.9516,3.5507,4.2,1.9
2021-7-17,1-022-211,3163,5.5641,1.749,6.7863,3.9065,4.2,2
2021-7-17,1-022-212,3114,5.5768,1.7277,6.7013,3.9065,4.2,2
2021-7-17,1-022-221,1944,2.9595,1.4332,3.3774,3.9065,4.2,2
2021-7-17,1-022-222,1949,2.979,1.4111,3.3652,3.9065,4.2,2
2021-7-18,1-023-211,2817,5.0935,1.5526,5.3601,2.3198,4,1.7
2021-7-18,1-023-212,2767,4.9205,1.5541,5.2829,2.3198,4,1.7
2021-7-18,1-023-221,1674,2.5153,1.2258,2.2969,2.3198,4,1.7
2021-7-18,1-023-222,1622,2.4837,1.223,2.407,2.3198,4,1.7
2021-7-19,1-024-211,2861,5.094,1.6445,5.7505,3.2733,4.4,1.8
2021-7-19,1-024-212,2850,5.0988,1.6235,5.7498,3.2733,4.4,1.8
2021-7-19,1-024-221,1751,2.6582,1.3806,2.837,3.2733,4.4,1.8
2021-7-19,1-024-222,1792,2.7105,1.3447,2.8661,3.2733,4.4,1.8
2021-7-7,2-001-111,2087,3.841,1.173,3.0968,0.7096,2.7,0.9
2021-7-7,2-001-112,2100,3.7484,1.1859,3.1156,0.7096,2.7,0.9
2021-7-7,2-001-121,1279,2.0902,0.9047,1.4144,0.7096,2.7,0.9
2021-7-7,2-001-122,1293,2.0438,0.9066,1.4475,0.7096,2.7,0.9
2021-7-7,2-002-111,2116,3.8418,1.2186,3.285,0.8342,2.9,1
2021-7-7,2-002-112,2091,3.8367,1.2155,3.2416,0.8342,2.9,1
2021-7-7,2-002-121,1326,2.1191,0.9155,1.5346,0.8342,2.9,1
2021-7-7,2-002-122,1309,2.1257,0.9147,1.4536,0.8342,2.9,1
2021-7-7,2-003-111,2257,4.1416,1.2874,3.6736,0.7944,2.8,1
2021-7-7,2-003-112,2277,4.1153,1.2887,3.6564,0.7944,2.8,1
2021-7-7,2-003-121,1336,2.1235,0.9747,1.5646,0.7944,2.8,1
2021-7-7,2-003-122,1344,2.1254,0.9674,1.5535,0.7944,2.8,1
2021-7-7,2-004-111,2143,3.9252,1.2167,3.2801,0.8356,2.9,1
2021-7-7,2-004-112,2113,3.8195,1.2238,3.2577,0.8356,2.9,1
2021-7-7,2-004-121,1362,2.1233,0.9769,1.5676,0.8356,2.9,1
2021-7-7,2-004-122,1348,2.1223,0.9636,1.5474,0.8356,2.9,1
2021-7-7,2-005-111,2080,3.7602,1.1872,3.151,0.7121,2.7,1
2021-7-7,2-005-112,2118,3.8199,1.1816,3.1336,0.7121,2.7,1
2021-7-7,2-005-121,1316,2.0916,0.9081,1.3756,0.7121,2.7,1
2021-7-7,2-005-122,1285,2.055,0.9195,1.4599,0.7121,2.7,1
2021-7-7,2-006-111,2179,4.0352,1.2109,3.357,0.8417,2.8,1
2021-7-7,2-006-112,2135,3.8819,1.2093,3.3538,0.8417,2.8,1
2021-7-7,2-006-121,1335,2.1102,1.0122,1.6001,0.8417,2.8,1
2021-7-7,2-006-122,1327,2.0894,0.9565,1.5428,0.8417,2.8,1
2021-7-7,2-007-211,2067,3.7353,1.1589,2.9997,0.8969,3.1,1
